index,count,name,date,comment,like
65,9,"락락라이브,오팔라이브,마지막겨울라이브,치즈라이브2 기대중인 치킨맛우유(김국중)",2017년 10월 22일,"국어는 마닳홈피에서 파는 이바다랑 대성 마이맥에서 파는 상상 푸시고
수학은 정상모 한석원 현우진(킬링캠프)
영어는 뭐 암거나 집어오셔두 됩니다
사탐은 시중꺼는 병아리북스꺼나 오르비가 낫구요 아니면 인강강사들꺼 쓰셔요(이지영,이다지 둥)",
66,10,포포,2017년 10월 8일,저 때 그 두분이 국어 1타를 다퉜었어욬ㅋㅋㅋㅋ ㅋ어 한2석56원 선생님은 안닼ㅋㅋㅋ 대성마6857이맥ㅋㅋㅋ 맞죸ㅋㅋㅋ,1
67,11,주버 🏳️‍🌈 🏊🏻‍♀️,2017년 7월 2일,최근 트위터에 돌았던ㄴ 매혹적인 수학 인강강사 이분인가 대성 마이맥 한석원 pic.twitter.com/B6VVSAvfQi,2
68,12, 🍇김쏘스 🐻,2017년 7월 1일,ㅠㅠㅠㅠㅠㅠㅠ한석원 대성ㅇ마이맥....나는 메가스터디...현우진 할래....,
69,13,[반동결]재수생레이,2017년 7월 1일,아 한석원쌤ㅋㅋㅋㅋ 대성 마이맥이었나,
70,14,Chu 🍾,2017년 3월 25일,유명한 사람들은 대성 한석원 메가 현우진 이투스 신승범 정승제,
71,15,깊은생각,2016년 3월 9일,"[깊은생각 한석원의 학습조언] 기출, 적당히 공부하면 독. 제대로 하면 약!- 2016년도 대성 마이맥 설명회: 목표가 달성되지 않으면 오늘 하루를 끝내지 않고 다시하기를 주저하지 않아야 한다.그래... http://bit.ly/1Tv6WTh ",
72,16,ㅍㅁㄱ,2015년 7월 22일,@Paradise_Lost_5 ㅇㅇ대성 한석원밖에 안들어서ㅋㅋ 반수는어때^^,
73,17,매디,2015년 1월 8일,@GN_4U 대성 한석원 이투스 신승범 이투스 김영도 etc...,
74,18,수수팥떡가족사랑연대,2014년 12월 2일,"*수수팥떡송년회~12/6(토)오후1시반~4시반,프로그램은?
1.최민희 대표님과의 세상사는 이야기(최민희대표님)
2.나의 수학이야기 강사: 한석원 선생님 (깊은생각원장, 대성마이맥스,티치미,알파테크닉 강사)http://www.asamo.or.kr/board/board_read.asp?bbsid=free_03&b_num=65618&page=1 …",
75,19,레모나ᓚᘏᗢ 🐥,2014년 8월 14일,야 대성에서 한석원 미만 잡이랜닼ㅋㅋㅋㅋㅋㅋㅋ,
76,20,Kim Dongil,2012년 6월 2일,I favorited a @YouTube video http://youtu.be/7hHdZPCRgb4?a  한석원 수리영역학습법 (대성티치미입시설명회 1부).wmv,
77,1,파이리,7월 31일,"대성마이맥 이과 올패스 아이디 18에 살사람 페메주세요
이과 아니야도 국영수 강의 들으실분
#대성마이맥 #한석원 #박광일 #대성 #인강 #수능 #고3",
78,2,뉴스와이어,6월 19일,"대성마이맥, 수학 한석원·과학탐구 윤도영 개념강좌 무료 지원 http://www.newswire.co.kr/newsRead.php?no=871009 …",
79,3,へきる,5월 28일,"대성마이맥 수학 한석원 강사, 전국 수험생에 전 강좌 무료 공개 - 뉴스와이어 http://www.newswire.co.kr/newsRead.php?no=869881 …",
80,4,포에버,2월 12일,인강은 현우진쌤을 추천해요! 메가 현우진쌤 정말 좋습니다! 그리고 대성마이맥 한석원쌤도 정말 좋아요!,76
81,5,윤영,2017년 11월 17일,대성마이맥 한석원도 괜찮은 것 같으니까 맛보기강의로 비교해서 잇츠미님과 더 맞는 분 강의 들으시면 좋을 것 같아요! 그럼 공부 열심히 하세요~,1
82,6,돌아온 타코야끼,2017년 6월 30일,초멘나사이 ! 대성마이맥에서 강의하시는 한석원 센세십니다,2
83,7,뉴스와이어,2017년 3월 22일,"대성마이맥 한석원 강사, 알파테크닉 강좌 무료 제공 이벤트 실시 https://goo.gl/MorPb7 ",
84,8,월화전공빌런규,2017년 2월 25일,내일 잠실에서 한석원선생이랑 대성마이맥 강사들이 강연함,1
85,9,뉴스와이어,2016년 6월 16일,"대성마이맥-비상에듀, 한석원·이명학 강사 실전모의고사 패키지 출시 http://goo.gl/nGyFfY ",
86,10,매디,2015년 1월 5일,@GN_4U 대성마이맥 ㄱㄱㄱㄱ 지금 이벤트로 ebs 전권 증정행사를 하는데 이게 유료결제회원용인지 무료이벤트인지 모르겠다 15일까지. Be the first penguin 인가 이명학 한석원 같이하는 이벤트있음 확인바람,1
87,11,유진숙,2013년 12월 14일,"大成, 이것이 2014 수능이다[2013 수능 응원] 한석원 선생님의 네 안의 기적을 깨워라!-비상에듀 대성마이맥 http://blog.naver.com/jiristar/80203530959 …",
88,12,깊은생각,2012년 9월 19일,"[깊은생각 고등수학] 알파테크닉 워크샵에서 알까기, 윷놀이하는 한석원 선생님: 한석원 선생님과 알파테크닉팀 (연구팀 + 출판팀 + 대성마이맥의 담당자 분들..)이 워크샵을 다녀왔습니다. 
해마다 이맘때... http://bit.ly/Pz49oE ",
89,13,깊은생각,2012년 6월 15일,한석원 선생님의 학습조언 - 6월 모의평가 이후 어떤 계획을 세울 것인가? (3): 이 영상은 지난 6월 9일 올림픽홀에서 있었던 대성마이맥-티치미 입시설명회에서의 한석원 선생님 발표 내용의 일부입니다... http://bit.ly/LfAa6j ,
