count,date,story
39,2012년 6월 12일,도서관에서 한석원 수능문제 풀이 강의를 보는  고딩을 보고는 순간 수학 꽤 하는 놈이군 이란 생각을 했습니다. 한석원 쌤은 원리까지 설명하는 편이라 보통 학생들이 어려워하거나 지겨워하거든요.,
40,2012년 4월 10일,"한석원선생님의 강의한토막 -  ∑ (K) 제곱근들의 계산 공식: 한석원 선생님의 [수학의 관점], 오늘은 ∑ K 제곱근들의 계산 공식을 쉽게 배워보겠습니다.
∑ K , ∑ (2K-1) ,∑ K세제곱의 ... http://bit.ly/ImfsOD ",
41,2012년 2월 28일,"한석원선생님의 수리영역학습법 (2013 대성-티치미 입시설명회 강연 녹취): 그~~ 외국어영역하고 언어영역 들어봤더니 EBS가 짱인 모양이죠? 
수학은 그러지 않습니다.
아~~ 수학이라는 과목이 순결해... http://bit.ly/Ar7R1F ",
42,2012년 2월 16일,"[깊은생각 고등수학] 고3 한석원 원장님반 주간수능실전테스트 + 성적상담 시스템: 깊은생각 고등수학의 모든 고3 학생들은 매주 주간수능실전테스트를 실시합니다. 
그 성적은등급별로 기록되며 성적상담의 기... http://bit.ly/zq3Eqx ",
43,2012년 2월 14일,한석원선생님과 함께 푸에르토리코를!: 깊은생각 고등수학 대표원장 한석원 선생님과 수학선생님들이 수업이 모두 끝난 후 모였습니다.바쁜 업무를 잠시 내려놓고 푸에르토리코를 하며 우의를 다지는 화기애애한 자... http://bit.ly/w5wyZW ,
44,2011년 12월 14일,@tepark93 고종훈 쌤 들으려다가 라영환쌤 선택했는데 선택 잘 한 거 같아요 ㅎㅎ 고종훈 쌤은 잘 모르지만...수학은 신승범커리랑 학원다녀요.. 근데 학원원장이 한석원 ㅋㅋ,
45,2011년 8월 24일,신승범 VS 한석원 ... 이기상 VS 신상호   참고로 난 한지는 신상호 경지는 이기상 수학은 신승범 들었다. by @fly2moon [81903],
46,2011년 7월 18일,"공부나해, 고3 될때까지 몇 명의 선생님을 만났을까? RT @*****: 고3 수학인강 누구 들을까요? 미통기요 한석원? 정승제? 신승범?",
47,2011년 5월 31일,"@edeline0716 국어는 학원다녀서 모르겠음..ㅋㅋ 수학은 신승범 외에 만족해본 적이 없어서,... 아 한석원도 나쁘진 않았는데 ㅋㅋ",
48,2011년 5월 19일,@jytalk '석원'이라는 이름을 보면 한석원이라는 강남구청 수학강사 생각나요 ㅋㅋ '마빡 선생'이라고 애들이 부르던 -_-),
49,2011년 4월 15일,"채용정보] 깊은생각, 한석원수학학원에서 고등부 수학연구원, 수학강사를 모십니다.^^ 대졸이상자는 지원가능하며 자세한 내용은 훈장마을에서 확인하세요 http://j.mp/eTdgQt 훈장마을_sy",
50,2011년 3월 2일,@SHOCOLIC @click_kr 10-가나 라.. 수학 자신 없으면 유상현 수포자구원자가 있고 10-가나 는 한석원 동생 한석만 있음,
51,2011년 2월 26일,"@truthofthepower 수학이라도 일등급맞음됨여 ㅁㄴㅇㄹ 한석원 알파테크닉 기초강의나 전준홍, 유상현 커리큘럼 하나 잡아서 독하게 파면 나올수 있음여",
52,2011년 1월 16일,@click_kr 원래 그런거지 고로 수학은 유상현을 듣더라도 평가원 6 9 수능 각각 1개월전부터 티치미 한석원 코너 매번 확인해서 특강올라오면 봅니다 유료인강보다도 빛이남 해설강의는 들다 보고 전년도까지것은 한석원 밖에 없음 @taekeong,
53,2010년 1월 2일,예전에 수학공부할 때 열정적인 강의 해주신 티치미 한석원 선생님. 노무현 전 대통령 서거날 도저히 강의 녹화를 진행하지 못하고 울먹이던 모습이 있었다. 진심으로 애도하는...  http://bit.ly/8JAN1Z,
count,date,comment,like
1,8월 3일,"저는 이투스의 신승범 커리 타고 있어요 : )
메가의 현우진 T도 괜찮아요. 대성의 한석원은 조금 자장벽이 높긴 한데, 괜찮아요.",
2,7월 31일,"대성마이맥 이과 올패스 아이디 18에 살사람 페메주세요
이과 아니야도 국영수 강의 들으실분
#대성마이맥 #한석원 #박광일 #대성 #인강 #수능 #고3",
3,3월 7일,대성 한석원 빼고 뭘로 버티나 봤더니 이명학이랑 상상모고가 대성이구나,
4,1월 24일,ㅅㅂ 현윽건 듣다가 약간 헷갈리는거잇어서 대성패스 짜피사놔서 한석원 쌤 들어봣는데 개깜짝놀램 딕션 개웃기심,
5,1월 13일,Hair 나올 수 없는 빡샘의 매력 - 한석원 쌤ㅋㅋㅋ 대성 광고 웃기다 ㅋㅋ https://www.youtube.com/watch?v=9ztUdbG79Lw&feature=share …,
6,1월 6일,대성신청해 ㅎㅎ 나랑 한석원듣 자,
7,2017년 11월 29일,버스에 대성 광고에 한석원선생 있어서 볼때마다 [치명적 포즈] 생각나,
8,2017년 11월 7일,김동욱 한석원 한종철 김지혁으로 이어지는 대성 덕후 라인,
9,2017년 10월 22일,"국어는 마닳홈피에서 파는 이바다랑 대성 마이맥에서 파는 상상 푸시고
수학은 정상모 한석원 현우진(킬링캠프)
영어는 뭐 암거나 집어오셔두 됩니다
사탐은 시중꺼는 병아리북스꺼나 오르비가 낫구요 아니면 인강강사들꺼 쓰셔요(이지영,이다지 둥)",
10,2017년 10월 8일,저 때 그 두분이 국어 1타를 다퉜었어욬ㅋㅋㅋㅋ ㅋ어 한2석56원 선생님은 안닼ㅋㅋㅋ 대성마6857이맥ㅋㅋㅋ 맞죸ㅋㅋㅋ,1
11,2017년 7월 2일,최근 트위터에 돌았던ㄴ 매혹적인 수학 인강강사 이분인가 대성 마이맥 한석원 pic.twitter.com/B6VVSAvfQi,2
12,2017년 7월 1일,ㅠㅠㅠㅠㅠㅠㅠ한석원 대성ㅇ마이맥....나는 메가스터디...현우진 할래....,
